season,match_no,date,team_1,team_1_score,team_1_wicket,team_2,team_2_score,team_2_wicket,player_of_match,toss_winner,toss_decision,winner,venue,city,win_by_wickets,win_by_runs,result,umpire_1,umpire_2,,,,,,,,
2024/25,37th,Jan 28 2025,Rangpur Riders,143,5,Chittagong Kings,148,5,Haider Ali,Chittagong Kings,field first,Chittagong Kings,SBNCS,Mirpur,0,5,5 wickets,Asif Yaqoob,Morshed Ali Khan,,,,,,,,
2024/25,38th,Jan 28 2025,Dhaka Capital,73,10,Fortune Barishal,77,1,Tanvir Islam,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,0,9,9 wickets,Mahfuzur Rahman,Sharfuddoula,,,,,,,,
2024/25,39th,Jan 30 2025,Khulna Tigers,220,4,Rangpur Riders,174,9,Mohammad Naim,Khulna Tigers,bat first,Khulna Tigers,SBNCS,Mirpur,46,0,46 runs,Tanvir Ahmed,RR Wimalasiri,,,,,,,,
2024/25,40th,Jan 30 2025,Chittagong Kings,196,8,Sylhet Strikers,100,10,Shoriful Islam,Sylhet Strikers,field first,Chittagong Kings,SBNCS,Mirpur,96,0,96 runs,Gazi Sohel,Morshed Ali Khan,,,,,,,,
2024/25,41st,Feb 1 2025,Dhaka Capital,123,9,Khulna Tigers,128,4,Mehidy Hasan Miraz,Dhaka Capital,bat first,Khulna Tigers,SBNCS,Mirpur,0,6,6 wickets,Mahfuzur Rahman,Morshed Ali Khan,,,,,,,,
2024/25,42nd,Feb 1 2025,Chittagong Kings,206,4,Fortune Barishal,182,7,Parvez Hossain Emon,Fortune Barishal,field first,Chittagong Kings,SBNCS,Mirpur,24,0,24 runs,Masudur Rahman,RR Wimalasiri,,,,,,,,
2024/25,Eliminator,Feb 3 2025,Rangpur Riders,85,10,Khulna Tigers,89,1,Nasum Ahmed,Rangpur Riders,bat first,Khulna Tigers,SBNCS,Mirpur,0,9,9 wickets,RR Wimalasiri,Masudur Rahman,,,,,,,,
2024/25,Qualifier 1,Feb 3 2025,Chittagong Kings,149,9,Fortune Barishal,150,1,Mohammad Ali,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,0,9,9 wickets,Asif Yaqoob,Morshed Ali Khan,,,,,,,,
2024/25,Qualifier 2,Feb 5 2025,Khulna Tigers,163,6,Chittagong Kings,164,8,Al Islam,Chittagong Kings,field first,Chittagong Kings,SBNCS,Mirpur,0,2,2 wickets,Gazi Sohel,RR Wimalasiri,,,,,,,,
2024/25,Final,Feb 7 2025,Chittagong Kings,194,7,Fortune Barishal,195,7,Tamim Iqbal,Fortune Barishal,field first,Fortune Barishal,SBNCS,Mirpur,0,3,3 wickets,Gazi Sohel,Masudur Rahman,,,,,,,,
